TES|07/05/2021|1|IT09319650967|07/05/2021|2021013335_45714_COV20||||
RIG|07/05/2021|1||||||3840.00|0.07813
RIG|07/05/2021|1||||||3840.00|0.07813
RIG|07/05/2021|1||||||4800.00|0.07813
TES|24/01/2022|2|IT06485540485|24/01/2022|202200230491||||
RIG|24/01/2022|2||||50327882||4|135.00000
TES|24/01/2022|3|IT02060250996|24/01/2022|01-2022-2201||||
RIG|24/01/2022|3||||85410||1|200.0000000
TES|04/11/2021|4|IT04743741003|04/11/2021|S1-2021-198||||
RIG|04/11/2021|4||||4015973||45032.94|4.3400000
RIG|04/11/2021|4||||4015970||151282.44|0.3100000
RIG|04/11/2021|4||||4015972||11389.68|2.4400000
RIG|04/11/2021|4||||4015974||11691.3|5.6900000
RIG|04/11/2021|4||||4015971||82163|1.4500000
TES|04/11/2021|5|IT04743741003|04/11/2021|S1-2021-198||||
RIG|04/11/2021|5||||4015973||45032.94|4.3400000
RIG|04/11/2021|5||||4015970||151282.44|0.3100000
RIG|04/11/2021|5||||4015972||11389.68|2.4400000
RIG|04/11/2021|5||||4015974||11691.3|5.6900000
RIG|04/11/2021|5||||4015971||82163|1.4500000
TES|04/11/2021|6|IT04743741003|04/11/2021|S1-2021-198||||
RIG|04/11/2021|6||||4015973||45032.94|4.3400000
RIG|04/11/2021|6||||4015970||151282.44|0.3100000
RIG|04/11/2021|6||||4015972||11389.68|2.4400000
RIG|04/11/2021|6||||4015974||11691.3|5.6900000
RIG|04/11/2021|6||||4015971||82163|1.4500000
TES|04/11/2021|7|IT04743741003|04/11/2021|S1-2021-198||||
RIG|04/11/2021|7||||4015973||45032.94|4.3400000
RIG|04/11/2021|7||||4015970||151282.44|0.3100000
RIG|04/11/2021|7||||4015972||11389.68|2.4400000
RIG|04/11/2021|7||||4015974||11691.3|5.6900000
RIG|04/11/2021|7||||4015971||82163|1.4500000
