TES;31/12/2021;1;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;1;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;2;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;2;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;3;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;3;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;4;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;4;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;5;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;5;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;6;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;6;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;7;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;7;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;8;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;8;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;9;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;9;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;10;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;10;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;11;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;11;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;12;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;12;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;13;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;13;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;14;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;14;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;15;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;15;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;16;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;16;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;17;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;17;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;18;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;18;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;19;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;19;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;20;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;20;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;21;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
RIG;31/12/2021;21;;;;1015588;;150;20,03;;PULIZIE E SANIFICAZIONE PER COVID 19 ;;3004,50
TES;31/12/2021;22;IT01033011006;31/12/2021;S-2100919;;;;;"[CedentePrestatore|RiferimentoAmministrazione|QRLULC];[DatiOrdineAcquisto|Data|31/12/2021];[DatiOrdineAcquisto|IdDocumento|S-2100919]";;9012768370;
